Internações SUS 
AIHs PagasPermanência por Munic Resid SP
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2005
"Munic Resid SP";"AIHs_Pagas";"Permanência"
"354165 Quadra";8;20
"354170 Quatá";1;2
"354180 Queiroz";10;28
"354190 Queluz";28;96
"354210 Rafard";3;14
"354220 Rancharia";1;44
"354240 Regente Feijó";35;77
"354250 Reginópolis";10;21
"354260 Registro";1;5
"354270 Restinga";3;15
"354280 Ribeira";2;4
"354290 Ribeirão Bonito";10;29
"354300 Ribeirão Branco";98;359
"354310 Ribeirão Corrente";2;6
"354323 Ribeirão dos Índios";2;5
"354325 Ribeirão Grande";7;23
"354330 Ribeirão Pires";83;288
"354340 Ribeirão Preto";83;419
"354360 Rifaina";6;23
"354380 Rinópolis";24;63
"354400 Rio das Pedras";179;771
"354410 Rio Grande da Serra";9;27
"354420 Riolândia";1;4
"354425 Rosana";9;34
"354460 Sabino";9;23
"354480 Sales";9;29
"354490 Sales Oliveira";3;13
"354500 Salesópolis";1;3
"354520 Salto";113;399
"354530 Salto de Pirapora";2;5
"354550 Sandovalina";11;36
"354560 Santa Adélia";16;65
"354580 Santa Bárbara d'Oeste";543;1458
"354600 Santa Branca";40;113
"354630 Santa Cruz das Palmeiras";318;1021
"354640 Santa Cruz do Rio Pardo";21;54
"354650 Santa Ernestina";53;186
"354680 Santa Isabel";156;532
"354710 Santa Mercedes";39;115
"354760 Santa Rosa de Viterbo";7;17
"354730 Santana de Parnaíba";5;15
"354770 Santo Anastácio";8;19
"354780 Santo André";5;7
"354800 Santo Antônio de Posse";1;2
"354805 Santo Antônio do Aracanguá";5;18
"354810 Santo Antônio do Jardim";26;66
"354820 Santo Antônio do Pinhal";1;2
"354830 Santo Expedito";3;21
"354840 Santópolis do Aguapeí";4;15
"354850 Santos";45;209
"354870 São Bernardo do Campo";15;69
"354890 São Carlos";844;2761
"354910 São João da Boa Vista";130;355
"354920 São João das Duas Pontes";24;64
"354925 São João de Iracema";7;20
"354930 São João do Pau d'Alho";14;40
"354940 São Joaquim da Barra";700;4032
"354950 São José da Bela Vista";6;17
"354960 São José do Barreiro";13;32
"354970 São José do Rio Pardo";2;13
"354980 São José do Rio Preto";45;162
"354990 São José dos Campos";66;276
"355000 São Luís do Paraitinga";15;57
"355010 São Manuel";103;515
"355020 São Miguel Arcanjo";64;194
"355030 São Paulo";2125;10502
"355050 São Pedro do Turvo";1;5
"355060 São Roque";14;59
"355070 São Sebastião";43;182
"355080 São Sebastião da Grama";4;7
"355090 São Simão";2;9
"355100 São Vicente";225;762
"355110 Sarapuí";6;20
"355120 Sarutaiá";52;233
"355140 Serra Azul";1;1
"355150 Serrana";3;7
"355170 Sertãozinho";4;9
"355190 Severínia";77;238
"355200 Silveiras";4;12
"355210 Socorro";473;1255
"355220 Sorocaba";14;44
"355230 Sud Mennucci";5;18
"355240 Sumaré";62;201
"355255 Suzanápolis";25;76
"355250 Suzano";4;27
"355260 Tabapuã";6;20
"355270 Tabatinga";2;10
"355280 Taboão da Serra";8;37
"355290 Taciba";9;18
"355300 Taguaí";2;7
"355310 Taiaçu";1;4
"355320 Taiúva";1;3
"355330 Tambaú";41;119
"355340 Tanabi";79;277
"355350 Tapiraí";45;160
"355370 Taquaritinga";1312;5419
"355380 Taquarituba";22;74
"355390 Tarabai";2;7
"355395 Tarumã";21;69
"355400 Tatuí";692;2499
"355410 Taubaté";2;6
"355420 Tejupá";113;464
"355430 Teodoro Sampaio";6;16
"355450 Tietê";174;521
"355460 Timburi";2;6
"355465 Torre de Pedra";1;1
"355470 Torrinha";3;18
"355480 Tremembé";1;3
"355500 Tupã";523;1469
"355510 Tupi Paulista";192;647
"355530 Turmalina";5;18
"355535 Ubarana";3;9
"355540 Ubatuba";311;1079
"355550 Ubirajara";3;24
"355560 Uchoa";2;4
"355570 União Paulista";1;1
"355590 Uru";3;9
"355600 Urupês";45;112
"355610 Valentim Gentil";6;21
"355620 Valinhos";53;181
"355630 Valparaíso";11;30
"355635 Vargem";1;3
"355645 Vargem Grande Paulista";10;95
"355650 Várzea Paulista";351;1128
"355670 Vinhedo";41;121
"355690 Vista Alegre do Alto";24;77
"355700 Votorantim";4;14
"355710 Votuporanga";91;280
"Total";31809;114229
 Fonte: SESSP/SIH-SUS - Sistema de Informações Hospitalares do SUS
 
