Internações SUS 
AIHs Pagas por Munic Resid SP e Ano de Competência
CID10 3 dígitos: A08   Infecc intestinais virais outr e as NE
Fx Etária 1: Menor de 1 ano, 1-4 anos
Período:2000-2007
"Munic Resid SP";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"Total"
"350350 Areias";4;1;2;1;0;5;5;2;20
"350360 Areiópolis";5;10;1;0;0;0;0;0;16
"350370 Ariranha";38;17;3;6;7;12;21;6;110
"350380 Artur Nogueira";4;0;0;0;0;0;2;1;7
"350390 Arujá";13;23;8;0;0;0;0;0;44
"350400 Assis";109;27;97;189;146;115;103;91;877
"350410 Atibaia";16;0;24;8;10;20;3;3;84
"350420 Auriflama";0;0;0;0;1;0;0;0;1
"350430 Avaí";5;3;4;0;0;0;1;0;13
"350440 Avanhandava";0;0;4;1;0;1;3;1;10
"350450 Avaré";94;140;23;0;0;0;0;0;257
"350460 Bady Bassitt";0;0;0;1;0;1;0;0;2
"350470 Balbinos";1;1;1;0;0;0;1;0;4
"350490 Bananal";0;0;0;1;2;0;1;0;4
"350510 Barbosa";0;0;5;0;0;0;1;1;7
"350535 Barra do Chapéu";0;5;0;0;0;0;0;0;5
"350550 Barretos";162;106;7;15;3;36;14;5;348
"350560 Barrinha";5;2;0;0;1;1;0;0;9
"350570 Barueri";6;12;3;1;4;1;0;2;29
"350580 Bastos";2;2;5;2;2;2;1;1;17
"350590 Batatais";0;0;0;0;6;2;0;4;12
"350600 Bauru";98;83;81;44;3;6;4;5;324
"350610 Bebedouro";0;0;7;0;0;0;1;0;8
"350640 Bilac";0;0;8;22;5;9;10;0;54
"350650 Birigui";87;80;42;11;53;19;25;19;336
"350660 Biritiba-Mirim";1;2;5;0;0;0;0;0;8
"350670 Boa Esperança do Sul";1;0;0;0;0;0;0;0;1
"350680 Bocaina";17;18;7;8;0;4;2;2;58
"350700 Boituva";48;53;29;17;15;20;8;9;199
"350720 Borá";4;0;0;1;0;0;0;0;5
"350740 Borborema";1;0;0;0;0;0;0;0;1
"350745 Borebi";0;1;0;0;0;0;0;0;1
"350750 Botucatu";4;3;0;0;2;0;1;0;10
"350760 Bragança Paulista";0;0;3;1;0;1;0;0;5
"350770 Braúna";0;0;2;0;1;1;3;2;9
"350775 Brejo Alegre";0;0;0;0;0;0;3;0;3
"350780 Brodowski";1;0;0;0;1;0;0;0;2
"350790 Brotas";0;1;0;0;0;0;0;0;1
"350800 Buri";34;0;8;0;0;0;2;1;45
"350810 Buritama";5;1;1;0;0;0;0;0;7
"350820 Buritizal";6;3;2;5;3;0;0;0;19
"350830 Cabrália Paulista";1;0;5;8;9;10;7;1;41
"350840 Cabreúva";76;62;20;3;4;0;0;0;165
"350850 Caçapava";9;2;0;1;0;0;2;0;14
"350860 Cachoeira Paulista";10;3;1;2;2;2;0;0;20
"350870 Caconde";1;0;0;0;0;0;0;0;1
"350880 Cafelândia";0;0;1;16;22;19;20;12;90
"350910 Caiuá";7;0;0;0;0;0;0;0;7
"350930 Cajobi";6;16;8;8;2;5;3;0;48
"350945 Campina do Monte Alegre";0;0;0;0;3;2;3;3;11
"350950 Campinas";24;49;19;4;3;6;7;2;114
"350960 Campo Limpo Paulista";22;20;5;1;0;0;0;0;48
"350970 Campos do Jordão";0;0;15;0;0;0;0;0;15
"350995 Canas";0;0;0;6;0;0;0;0;6
"351000 Cândido Mota";81;47;22;35;23;11;18;16;253
"351010 Cândido Rodrigues";5;2;3;7;3;5;3;1;29
"351015 Canitar";0;0;0;2;0;0;0;0;2
"351020 Capão Bonito";64;45;0;0;0;0;0;0;109
"351030 Capela do Alto";18;23;17;8;8;7;6;2;89
"351040 Capivari";44;0;0;3;0;0;1;0;48
"351050 Caraguatatuba";77;51;50;25;41;34;20;22;320
"351060 Carapicuíba";10;5;3;2;5;3;10;2;40
"351070 Cardoso";0;0;0;0;4;2;0;0;6
"351080 Casa Branca";0;1;0;0;1;1;0;0;3
"351090 Cássia dos Coqueiros";0;1;0;0;0;0;0;0;1
"351100 Castilho";0;0;0;0;1;0;0;0;1
"351110 Catanduva";58;40;11;0;0;0;1;0;110
"351120 Catiguá";1;2;0;0;0;0;0;0;3
"351130 Cedral";0;0;0;0;0;1;0;0;1
"351140 Cerqueira César";1;2;3;6;17;12;11;3;55
"351150 Cerquilho";16;27;8;1;2;17;4;4;79
"351160 Cesário Lange";49;49;10;0;0;0;0;0;108
"351170 Charqueada";0;0;1;0;0;0;0;0;1
"355720 Chavantes";27;21;0;0;0;0;0;0;48
"351190 Clementina";1;0;11;22;10;4;1;0;49
"351200 Colina";1;0;10;12;11;16;14;15;79
"351210 Colômbia";1;4;1;0;0;0;0;0;6
"351220 Conchal";4;0;2;0;0;0;0;0;6
"351230 Conchas";30;8;0;0;0;1;0;0;39
"351240 Cordeirópolis";0;0;1;0;0;0;0;0;1
"351250 Coroados";3;0;2;1;2;0;0;1;9
"351260 Coronel Macedo";0;0;0;0;2;2;0;0;4
"351290 Cosmorama";0;0;0;0;1;0;0;1;2
"351300 Cotia";13;35;20;7;1;2;0;1;79
"351310 Cravinhos";0;0;0;1;0;0;0;0;1
"351320 Cristais Paulista";0;0;1;2;2;2;0;1;8
"351330 Cruzália";1;0;0;1;1;0;5;2;10
"351340 Cruzeiro";68;52;48;87;35;54;69;18;431
"351350 Cubatão";0;14;25;26;2;0;1;0;68
"351360 Cunha";0;0;0;0;2;8;21;7;38
"351370 Descalvado";0;0;3;0;0;0;1;1;5
"351390 Divinolândia";4;10;5;5;3;5;0;2;34
"351410 Dois Córregos";0;0;1;2;4;0;65;54;126
"351430 Dourado";1;0;0;1;0;0;0;0;2
"351440 Dracena";0;0;0;0;0;0;2;0;2
"351450 Duartina";0;0;8;11;14;30;12;3;78
"351460 Dumont";1;0;0;0;0;1;0;0;2
"351480 Eldorado";0;0;0;1;1;2;0;0;4
"351490 Elias Fausto";1;0;0;0;0;0;0;1;2
"351492 Elisiário";1;0;1;0;1;0;0;0;3
"351500 Embu das Artes";1;2;3;3;0;2;3;3;17
"351510 Embu-Guaçu";0;0;1;1;0;1;1;2;6
"351512 Emilianópolis";1;1;1;5;3;2;2;0;15
"351515 Engenheiro Coelho";1;0;0;0;0;0;0;0;1
"351518 Espírito Santo do Pinhal";57;46;25;36;26;44;7;7;248
"355730 Estiva Gerbi";8;6;1;3;0;2;0;1;21
"351520 Estrela d'Oeste";41;37;13;4;0;1;0;0;96
